Age,Gender,Subscription_Length,Region,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
32.0,Female,20,West,Credit Card,1,8.0,11.15,205,49.79,0
32.0,Male,1,East,PayPal,3,7.0,13.86,229,40.25,0
43.0,Male,1,East,PayPal,4,3.0,9.26,189,27.19,1
59.0,Male,17,West,PayPal,4,3.0,17.69,99,37.57,1
30.0,Male,59,North,Credit Card,2,7.0,19.72,218,62.77,0
49.0,Female,53,East,Credit Card,0,5.0,5.27,43,51.44,0
56.0,Female,52,West,PayPal,3,7.0,16.85,124,58.74,0
66.0,Male,45,South,Debit Card,2,6.0,7.86,20,50.01,0
69.0,Male,30,West,Debit Card,0,10.0,10.3,311,58.92,1
49.0,Female,41,West,PayPal,5,7.0,10.91,330,50.27,1
21.0,Female,47,West,Debit Card,4,2.0,18.75,328,43.5,1
47.0,Male,3,North,Debit Card,1,7.0,14.88,168,46.25,0
54.0,Female,46,North,PayPal,4,2.0,5.61,46,36.05,1
40.0,Male,55,West,Debit Card,3,7.0,5.22,223,52.23,0
56.0,Male,11,East,Debit Card,4,8.0,7.99,79,41.59,0
62.0,Male,24,South,PayPal,3,10.0,9.77,170,53.25,0
32.0,Female,22,East,Debit Card,1,8.0,12.27,246,51.54,0
60.0,Female,44,North,Debit Card,3,5.0,17.57,271,49.56,0
46.0,Male,45,South,Debit Card,2,7.0,9.72,99,53.56,0
53.0,Female,26,West,Debit Card,2,8.0,10.65,322,51.29,1
30.0,Male,13,East,PayPal,2,4.0,9.94,141,35.0,0
49.0,Male,1,East,Credit Card,1,2.0,5.13,109,26.14,1
68.0,Male,10,East,Debit Card,4,1.0,7.08,137,23.15,1
39.0,Female,35,North,PayPal,1,2.0,9.32,121,38.64,1
45.0,Male,24,West,PayPal,3,10.0,6.94,99,53.16,0
19.0,Male,28,East,Debit Card,3,7.0,12.36,66,50.28,0
59.0,Female,36,West,Credit Card,4,10.0,18.98,144,60.93,0
62.0,Male,16,South,Debit Card,1,1.0,6.51,110,29.19,1
23.0,Male,40,West,PayPal,1,7.0,11.61,130,53.6,0
45.0,Female,16,East,PayPal,2,5.0,5.34,328,38.48,1
45.0,Female,59,North,Credit Card,1,3.0,16.56,257,53.41,1
61.0,Female,17,West,PayPal,1,2.0,14.62,210,35.05,1
61.0,Male,51,West,PayPal,0,7.0,15.5,246,61.46,0
37.0,Female,54,East,PayPal,2,9.0,12.09,361,61.74,1
47.0,Female,15,North,Credit Card,2,9.0,18.61,154,53.05,0
45.0,Male,15,South,Debit Card,1,10.0,12.71,21,55.65,0
42.0,Male,57,South,Credit Card,3,8.0,15.43,35,61.52,0
56.0,Male,34,East,Debit Card,2,2.0,12.81,360,39.49,1
18.0,Female,1,North,Credit Card,1,8.0,9.76,224,44.45,0
44.0,Female,15,South,Debit Card,1,2.0,6.38,124,31.38,1
30.0,Male,51,East,Debit Card,4,4.0,14.14,364,46.91,1
58.0,Male,4,North,Credit Card,1,2.0,6.78,300,29.04,1
20.0,Male,43,West,PayPal,0,4.0,14.46,341,50.99,1
56.0,Female,5,South,PayPal,1,7.0,18.39,4,47.69,0
25.0,Male,13,North,PayPal,0,10.0,8.33,42,53.53,0
44.0,Female,10,North,Credit Card,3,6.0,18.4,169,44.77,0
26.0,Male,11,South,Debit Card,1,4.0,15.38,280,37.52,0
50.0,Female,34,West,PayPal,7,5.0,11.12,185,41.84,1
68.0,Female,39,South,Debit Card,1,3.0,15.11,323,44.93,1
59.0,Male,41,East,PayPal,1,3.0,13.62,11,44.68,1
61.0,Female,42,North,PayPal,0,4.0,14.28,173,51.03,0
41.0,Female,50,West,Debit Card,5,5.0,13.51,96,47.33,1
32.0,Male,23,East,PayPal,1,2.0,16.97,278,38.52,1
49.0,Female,7,West,PayPal,2,6.0,9.81,139,39.77,0
49.0,Male,59,East,PayPal,0,6.0,15.63,166,59.72,0
41.0,Male,39,East,PayPal,2,8.0,19.87,187,60.11,0
58.0,Male,3,East,Debit Card,2,2.0,10.85,86,28.13,1
69.0,Male,12,East,Credit Card,4,8.0,16.87,231,47.6,0
66.0,Male,7,West,Credit Card,2,8.0,8.69,138,44.33,0
66.0,Female,49,South,PayPal,2,4.0,9.23,19,48.58,0
69.0,Male,26,West,PayPal,2,7.0,19.02,338,53.58,1
19.0,Male,48,West,Credit Card,1,1.0,12.24,17,42.66,1
20.0,Female,15,West,Debit Card,6,8.0,11.03,280,42.16,1
66.0,Male,2,East,Debit Card,3,1.0,14.44,261,26.38,1
54.0,Female,41,West,Debit Card,3,3.0,7.89,160,39.09,1
66.0,Male,7,North,Debit Card,2,6.0,6.06,309,38.41,1
34.0,Female,32,East,Debit Card,1,8.0,10.54,81,53.02,0
66.0,Male,4,West,Debit Card,5,5.0,12.87,185,34.1,1
19.0,Male,20,North,Credit Card,0,5.0,13.43,213,45.2,0
19.0,Female,50,West,PayPal,2,4.0,14.02,342,49.79,1
45.0,Male,53,South,Credit Card,3,4.0,13.23,359,49.58,1
40.0,Female,36,West,Debit Card,1,7.0,8.69,167,51.2,0
54.0,Male,32,West,PayPal,2,6.0,16.47,206,49.69,0
49.0,Female,28,South,PayPal,1,8.0,6.32,336,48.5,1
18.0,Male,1,South,Debit Card,1,10.0,16.09,274,51.99,0
19.0,Male,35,South,Debit Card,4,10.0,12.4,243,56.96,0
43.0,Male,30,West,Debit Card,3,5.0,12.6,347,45.31,1
21.0,Female,55,North,PayPal,5,8.0,14.41,287,59.3,1
28.0,Female,25,West,Credit Card,1,3.0,18.33,226,42.15,1
34.0,Female,16,West,Debit Card,5,1.0,14.57,269,29.96,1
55.0,Male,58,North,PayPal,1,3.0,13.49,279,49.09,1
41.0,Female,19,North,PayPal,2,4.0,13.54,249,41.22,0
22.0,Male,1,East,Credit Card,2,8.0,12.45,321,43.84,1
69.0,Male,5,South,Debit Card,1,9.0,17.11,196,52.92,0
51.0,Male,51,East,Debit Card,2,4.0,5.76,30,45.32,0
23.0,Male,22,North,Debit Card,2,7.0,18.28,303,50.53,1
39.0,Female,24,West,PayPal,2,1.0,13.79,131,34.06,1
28.0,Male,43,North,Debit Card,2,9.0,17.73,12,60.33,0
65.0,Female,45,West,Debit Card,3,4.0,5.16,16,40.72,0
33.0,Male,52,West,Debit Card,0,9.0,18.04,117,67.63,0
50.0,Female,37,West,Debit Card,4,3.0,6.8,149,38.19,1
26.0,Female,53,West,Credit Card,1,5.0,15.82,109,55.72,0
23.0,Female,36,South,Credit Card,0,1.0,11.25,236,37.67,1
33.0,Female,36,North,Credit Card,1,3.0,15.22,314,45.19,1
37.0,Male,52,West,PayPal,1,8.0,12.72,337,61.89,1
53.0,Female,53,East,PayPal,2,1.0,9.16,1,40.95,1
36.0,Male,18,East,PayPal,2,3.0,13.41,8,38.67,1
20.0,Male,16,East,Credit Card,2,5.0,6.22,143,37.79,0
36.0,Female,41,East,Credit Card,2,8.0,12.74,275,56.34,0
37.0,Female,18,South,Credit Card,3,4.0,14.26,153,37.59,0
49.0,Male,22,East,Debit Card,5,9.0,9.43,287,47.41,1
24.0,Female,2,North,Credit Card,2,6.0,19.3,130,42.53,0
69.0,Female,21,North,PayPal,1,6.0,12.8,121,46.22,0
58.0,Female,36,North,PayPal,2,5.0,7.74,59,45.04,0
50.0,Male,44,West,Credit Card,0,10.0,6.62,217,60.03,0
57.0,Female,39,North,PayPal,5,5.0,13.12,31,43.61,1
56.0,Male,47,South,Credit Card,1,7.0,10.63,244,56.85,0
35.0,Female,39,North,Credit Card,1,8.0,7.89,140,52.44,0
57.0,Female,29,West,PayPal,1,7.0,5.46,213,48.35,0
18.0,Male,54,South,PayPal,2,1.0,13.5,29,42.68,1
28.0,Female,26,North,PayPal,1,1.0,13.98,164,36.25,1
45.0,Female,21,South,PayPal,3,10.0,7.13,104,52.82,0
42.0,Male,17,South,Credit Card,4,6.0,14.03,63,42.18,0
67.0,Female,16,West,PayPal,2,3.0,19.28,15,40.17,1
48.0,Male,51,South,Debit Card,2,7.0,18.33,179,59.46,0
47.0,Male,9,North,PayPal,2,2.0,17.11,11,33.62,1
59.0,Female,31,West,PayPal,1,3.0,8.14,13,40.37,1
52.0,Male,14,South,Credit Card,2,8.0,7.35,215,44.74,0
24.0,Male,49,East,Credit Card,2,1.0,11.67,311,39.5,1
33.0,Female,37,East,Debit Card,2,5.0,14.29,226,48.42,0
43.0,Male,2,West,PayPal,5,10.0,17.76,63,48.67,1
65.0,Female,52,North,PayPal,2,1.0,8.48,255,38.12,1
19.0,Female,14,East,PayPal,2,5.0,11.68,171,40.77,0
18.0,Male,59,North,PayPal,2,6.0,11.81,190,54.4,0
29.0,Male,35,West,PayPal,2,3.0,19.8,25,45.16,1
22.0,Male,58,West,PayPal,1,7.0,12.13,160,58.9,0
54.0,Male,39,East,PayPal,2,7.0,12.99,217,53.01,0
49.0,Female,58,North,Debit Card,4,7.0,8.28,176,54.8,0
58.0,Male,51,East,Debit Card,1,2.0,8.83,221,43.24,1
65.0,Female,51,West,Debit Card,4,7.0,5.04,125,50.81,0
33.0,Male,41,West,Credit Card,3,3.0,13.55,170,43.96,1
20.0,Female,19,North,Debit Card,1,5.0,10.81,70,43.52,0
37.0,Male,59,East,Debit Card,2,2.0,18.48,78,49.71,1
50.0,Female,18,East,PayPal,2,9.0,5.65,348,50.24,1
41.0,Female,16,West,PayPal,3,4.0,18.29,111,41.54,0
69.0,Male,4,North,Debit Card,2,8.0,6.9,164,43.17,0
28.0,Male,12,South,Credit Card,0,7.0,5.03,128,42.81,0
66.0,Female,29,East,PayPal,1,1.0,7.68,155,34.8,1
25.0,Male,7,South,Debit Card,1,10.0,17.36,194,55.04,0
53.0,Female,14,East,Credit Card,1,7.0,17.04,173,49.67,0
55.0,Male,55,North,Debit Card,1,2.0,10.1,300,46.61,1
57.0,Female,12,South,Credit Card,3,3.0,15.02,313,35.37,1
37.0,Male,35,North,PayPal,0,1.0,12.61,21,39.2,1
52.0,Male,5,East,PayPal,2,7.0,18.57,311,44.82,1
65.0,Female,17,East,Debit Card,1,3.0,5.85,109,34.03,1
42.0,Male,58,East,PayPal,2,6.0,17.2,360,58.81,1
52.0,Male,42,East,PayPal,1,7.0,7.56,129,52.96,0
46.0,Male,10,East,PayPal,1,2.0,7.88,27,31.7,1
35.0,Male,43,South,Credit Card,2,9.0,15.54,344,61.64,1
63.0,Male,17,East,Credit Card,2,9.0,15.17,92,52.72,0
35.0,Female,5,North,Debit Card,2,7.0,13.22,295,42.36,0
19.0,Female,45,West,Credit Card,2,5.0,15.47,55,51.72,0
52.0,Female,42,South,PayPal,1,4.0,14.59,196,50.94,0
58.0,Male,49,West,Credit Card,2,1.0,8.59,301,38.8,1
53.0,Male,33,West,Debit Card,2,4.0,11.43,156,43.75,0
50.0,Male,36,North,PayPal,3,7.0,7.27,101,48.93,0
21.0,Female,36,West,PayPal,2,5.0,11.44,236,47.2,0
50.0,Male,18,West,PayPal,1,9.0,15.53,285,55.84,0
31.0,Male,9,East,Credit Card,2,4.0,15.37,69,38.37,0
38.0,Male,57,North,PayPal,2,3.0,15.64,267,51.35,1
37.0,Male,50,South,Credit Card,2,4.0,14.93,248,51.58,0
25.0,Male,14,South,Debit Card,2,2.0,10.51,103,33.26,1
24.0,Male,25,North,Debit Card,1,5.0,19.17,108,49.31,0
20.0,Male,15,South,Credit Card,0,4.0,10.15,200,40.36,0
34.0,Male,6,North,Debit Card,1,5.0,14.05,215,42.43,0
50.0,Female,56,East,Debit Card,5,9.0,16.25,155,62.5,1
65.0,Male,42,East,Debit Card,4,4.0,18.6,87,46.25,0
29.0,Male,29,North,PayPal,3,6.0,11.57,209,46.13,0
39.0,Male,29,North,PayPal,2,1.0,11.45,74,36.59,1
39.0,Male,4,North,Debit Card,2,2.0,9.86,258,29.98,1
63.0,Male,18,West,PayPal,2,6.0,14.81,273,47.44,0
47.0,Male,50,North,Credit Card,0,8.0,18.99,351,63.74,1
55.0,Male,57,West,Credit Card,1,9.0,6.89,336,62.95,1
55.0,Male,49,East,Debit Card,1,4.0,13.41,24,48.84,0
62.0,Male,44,West,PayPal,0,6.0,18.46,313,55.84,1
68.0,Female,39,North,Credit Card,4,3.0,6.5,71,37.25,1
44.0,Female,11,West,Credit Card,0,8.0,17.98,353,51.3,1
44.0,Female,14,North,Credit Card,2,1.0,18.51,292,33.54,1
51.0,Male,3,East,Debit Card,0,2.0,12.72,301,33.45,1
38.0,Female,51,West,PayPal,3,10.0,5.37,10,60.23,0
47.0,Female,50,North,Credit Card,2,9.0,6.58,319,60.61,1
45.0,Female,38,South,Credit Card,1,3.0,6.86,51,40.69,1
64.0,Female,45,South,Credit Card,3,3.0,7.24,207,39.93,1
50.0,Male,42,West,Credit Card,3,10.0,16.58,107,61.92,0
22.0,Male,18,West,Credit Card,3,9.0,16.26,259,51.33,0
65.0,Male,58,West,Debit Card,0,3.0,17.64,194,51.92,1
36.0,Female,20,North,PayPal,0,10.0,6.59,235,56.26,0
52.0,Male,48,North,Debit Card,3,6.0,17.49,69,57.14,0
34.0,Female,57,North,Credit Card,4,10.0,17.09,292,65.42,0
61.0,Male,38,North,PayPal,0,8.0,19.85,305,60.55,1
45.0,Female,13,South,Credit Card,1,2.0,17.97,257,36.04,1
47.0,Male,4,East,Debit Card,3,6.0,12.81,329,39.88,1
46.0,Male,55,North,Credit Card,2,2.0,9.66,185,44.5,1
41.0,Male,8,North,Debit Card,1,2.0,16.69,234,34.67,1
46.0,Male,44,East,PayPal,4,8.0,5.48,180,54.87,0
66.0,Male,34,North,Credit Card,5,4.0,12.47,54,41.21,1
63.0,Male,44,North,PayPal,2,2.0,17.92,305,44.87,1
48.0,Male,5,East,Debit Card,2,9.0,6.3,30,45.42,0
52.0,Male,54,West,Debit Card,0,8.0,12.77,12,61.98,0
50.0,Female,5,East,Credit Card,3,5.0,7.39,111,34.36,0
38.0,Male,45,East,Credit Card,5,5.0,17.49,169,48.72,1
49.0,Female,9,South,PayPal,6,7.0,19.01,104,41.75,1
40.0,Female,42,West,Debit Card,3,5.0,18.12,11,50.48,0
50.0,Male,32,South,Debit Card,3,5.0,16.05,347,46.21,1
20.0,Female,33,South,PayPal,3,4.0,7.77,329,38.83,1
35.0,Female,3,North,Credit Card,2,5.0,9.54,272,35.2,0
59.0,Female,50,East,PayPal,2,3.0,13.83,175,45.78,1
48.0,Female,12,South,Debit Card,0,4.0,16.73,158,40.82,0
20.0,Female,29,North,Debit Card,2,8.0,8.4,110,51.45,0
57.0,Female,3,North,Debit Card,2,6.0,6.92,152,38.45,0
41.0,Male,57,West,PayPal,2,2.0,7.37,141,44.97,1
67.0,Male,30,South,Debit Card,1,9.0,15.41,119,56.88,0
49.0,Female,9,West,PayPal,2,7.0,13.63,9,45.36,0
64.0,Female,26,North,Credit Card,5,5.0,16.12,177,42.62,1
39.0,Male,2,North,PayPal,1,7.0,5.95,49,40.51,0
40.0,Female,3,North,Debit Card,0,2.0,19.47,298,34.47,1
19.0,Female,46,East,Credit Card,2,4.0,5.0,333,42.09,1
44.0,Male,4,South,PayPal,0,7.0,9.88,149,42.84,0
59.0,Male,25,East,PayPal,3,2.0,15.19,157,36.92,1
43.0,Female,13,East,Credit Card,3,10.0,6.25,152,47.4,0
57.0,Male,44,East,Debit Card,1,5.0,13.72,84,50.61,0
26.0,Female,55,West,Credit Card,1,8.0,13.33,327,60.03,1
60.0,Male,23,West,PayPal,2,1.0,14.05,48,35.52,1
65.0,Female,9,North,Debit Card,1,6.0,10.19,335,41.62,1
56.0,Female,2,North,Credit Card,3,2.0,5.28,217,25.56,1
46.0,Male,54,North,PayPal,4,1.0,5.32,77,36.33,1
59.0,Male,41,South,Debit Card,2,7.0,18.32,43,56.75,0
43.0,Female,44,East,PayPal,3,4.0,6.54,264,44.0,0
42.0,Male,47,North,Credit Card,4,6.0,15.12,120,51.07,0
41.0,Male,2,North,PayPal,3,10.0,19.23,319,51.08,1
30.0,Female,32,East,Credit Card,1,6.0,10.43,262,47.6,0
24.0,Female,18,West,Credit Card,3,3.0,16.02,330,36.57,1
53.0,Female,13,South,Debit Card,2,6.0,10.26,250,42.88,0
62.0,Female,46,East,Debit Card,2,10.0,9.57,52,62.99,0
37.0,Male,5,North,PayPal,4,9.0,8.03,277,41.97,0
18.0,Male,58,North,PayPal,2,6.0,17.31,142,59.05,0
25.0,Female,42,South,PayPal,2,1.0,8.86,251,36.81,1
33.0,Male,10,South,Debit Card,4,6.0,19.98,225,43.32,0
31.0,Female,56,South,Credit Card,2,8.0,9.91,153,59.35,0
29.0,Female,43,West,Debit Card,1,7.0,11.34,56,54.13,0
32.0,Male,37,East,Debit Card,2,9.0,10.49,241,56.8,0
51.0,Female,7,North,PayPal,2,7.0,9.68,133,41.44,0
19.0,Male,6,East,Credit Card,2,6.0,8.51,81,38.51,0
49.0,Female,54,North,PayPal,2,2.0,11.35,350,45.27,1
40.0,Male,55,West,Debit Card,2,5.0,15.51,135,55.34,0
68.0,Female,13,East,PayPal,6,5.0,10.61,52,33.87,1
42.0,Female,3,East,Credit Card,2,9.0,10.19,202,44.71,0
39.0,Male,26,North,PayPal,1,8.0,8.67,198,51.14,0
39.0,Male,57,East,PayPal,3,9.0,14.81,106,64.29,0
66.0,Female,24,North,PayPal,1,9.0,9.35,311,52.9,1
59.0,Female,6,North,Debit Card,2,8.0,12.57,233,45.35,0
23.0,Female,43,North,Credit Card,1,6.0,8.26,14,53.14,0
32.0,Male,58,North,PayPal,2,6.0,9.0,225,55.69,0
60.0,Female,49,South,Debit Card,1,6.0,7.56,211,53.01,0
54.0,Male,42,East,Credit Card,0,10.0,5.85,201,60.85,0
50.0,Female,12,West,PayPal,5,6.0,14.29,165,39.73,1
25.0,Male,49,North,Credit Card,3,9.0,15.09,49,60.24,0
61.0,Female,36,South,Credit Card,1,10.0,7.49,133,57.28,0
22.0,Male,11,North,Credit Card,0,10.0,19.73,119,57.21,0
56.0,Female,39,West,Credit Card,2,6.0,6.12,139,46.75,0
21.0,Female,34,South,Credit Card,0,8.0,12.36,243,56.28,0
23.0,Male,26,West,Credit Card,4,1.0,16.0,181,33.47,1
62.0,Female,18,North,PayPal,4,6.0,5.69,183,37.82,0
49.0,Male,21,West,PayPal,2,9.0,16.67,335,55.23,1
47.0,Male,40,North,PayPal,3,2.0,6.33,181,36.78,1
64.0,Female,52,South,Credit Card,1,1.0,17.33,125,44.82,1
52.0,Female,46,South,PayPal,4,4.0,10.68,231,45.03,0
57.0,Female,44,West,Debit Card,0,6.0,7.16,311,51.25,1
69.0,Male,22,East,Credit Card,2,10.0,12.4,348,57.01,1
33.0,Male,53,West,Debit Card,0,10.0,6.07,3,63.71,0
67.0,Male,30,West,Credit Card,6,5.0,5.29,81,37.54,1
47.0,Female,43,West,Debit Card,1,6.0,12.32,315,53.78,1
36.0,Male,30,West,Debit Card,2,6.0,11.88,345,49.32,1
34.0,Male,8,East,Credit Card,4,9.0,7.94,219,44.73,0
45.0,Female,57,East,Debit Card,5,2.0,7.73,63,39.44,1
43.0,Male,47,West,PayPal,1,8.0,16.03,27,60.78,0
54.0,Male,9,North,PayPal,0,3.0,7.99,196,35.68,1
43.0,Female,51,West,Debit Card,1,9.0,14.25,152,62.34,0
40.0,Female,20,West,Debit Card,1,5.0,9.19,252,41.08,0
