Customer_ID,Age,Gender,Subscription_Length,Region,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
CUST000107,18.0,Male,43,North,PayPal,3,3.0,12.94,194,43.78,1
CUST000108,61.0,Female,28,North,Credit Card,3,8.0,9.14,124,48.6,0
CUST000109,25.0,Female,28,West,PayPal,1,8.0,19.03,271,55.54,0
CUST000110,41.0,Male,8,West,Debit Card,2,9.0,14.38,58,47.91,0
CUST000111,28.0,Female,23,North,Debit Card,4,8.0,12.26,59,49.46,0
CUST000112,68.0,Male,29,West,Credit Card,2,5.0,13.7,308,45.28,1
CUST000113,34.0,Male,5,West,PayPal,1,5.0,16.22,217,41.48,0
CUST000114,25.0,Female,42,West,Debit Card,2,3.0,7.32,69,40.87,1
CUST000115,52.0,Female,7,South,Credit Card,5,6.0,17.97,244,38.92,1
CUST000116,52.0,Male,42,North,PayPal,3,,19.39,103,64.35,0
CUST000117,50.0,Male,36,North,Debit Card,1,,13.5,5,44.18,1
CUST000118,22.0,Female,41,West,PayPal,4,2.0,15.23,299,39.88,1
CUST000119,59.0,Male,27,South,PayPal,0,7.0,17.9,264,54.85,0
CUST000120,56.0,Female,58,West,PayPal,2,10.0,10.62,241,64.35,0
CUST000121,58.0,Male,46,South,Credit Card,2,3.0,19.89,334,49.91,1
CUST000122,45.0,Male,2,North,Debit Card,2,4.0,15.21,349,37.1,1
CUST000123,24.0,Female,25,West,Credit Card,5,10.0,11.36,222,52.94,1
CUST000124,26.0,Female,9,North,Debit Card,1,8.0,15.16,319,48.71,1
CUST000125,25.0,Female,53,South,Debit Card,1,1.0,12.83,229,43.67,1
CUST000126,29.0,Female,27,East,Credit Card,1,9.0,6.67,32,54.3,0
CUST000127,51.0,Female,1,South,Credit Card,1,6.0,16.94,353,43.85,1
CUST000128,,Female,23,East,Debit Card,2,2.0,13.47,24,38.23,1
CUST000129,65.0,Female,10,North,Debit Card,3,3.0,16.94,306,34.59,1
CUST000130,40.0,Male,42,North,Debit Card,3,5.0,7.32,187,44.29,0
CUST000131,41.0,Male,52,West,PayPal,2,,13.08,128,54.87,0
CUST000132,54.0,Male,25,East,Debit Card,1,9.0,16.5,112,57.46,0
CUST000133,52.0,Female,54,South,Credit Card,1,2.0,19.82,294,49.77,1
CUST000134,61.0,Female,3,North,Credit Card,4,,18.27,149,37.35,0
CUST000135,57.0,Female,6,East,Credit Card,2,7.0,17.97,151,47.15,0
CUST000136,39.0,Male,58,South,Debit Card,1,7.0,8.71,174,57.96,0
CUST000137,,Female,6,East,Debit Card,1,4.0,17.57,197,38.17,0
CUST000138,52.0,Female,53,South,PayPal,5,3.0,7.54,255,40.07,1
CUST000139,18.0,Male,2,South,PayPal,1,8.0,7.97,168,43.63,0
CUST000140,,Female,58,South,Credit Card,2,2.0,6.65,82,46.33,1
CUST000141,54.0,Male,58,South,PayPal,4,5.0,17.86,70,53.05,0
CUST000142,64.0,Male,18,East,PayPal,2,10.0,6.62,325,51.0,1
CUST000143,31.0,Female,23,East,Credit Card,2,5.0,7.07,13,42.94,0
CUST000144,20.0,Female,2,West,Debit Card,1,1.0,8.69,119,25.76,1
CUST000145,18.0,Female,12,East,PayPal,1,7.0,13.59,212,47.15,0
CUST000146,22.0,Male,22,East,Debit Card,1,4.0,18.2,102,46.38,0
CUST000147,,Male,37,West,Credit Card,2,10.0,11.27,277,58.38,0
CUST000148,31.0,Male,20,East,Credit Card,2,2.0,13.19,196,34.89,1
CUST000149,56.0,Female,39,South,PayPal,0,8.0,7.5,77,54.97,0
CUST000150,,Female,24,North,Credit Card,3,4.0,8.99,338,36.58,1
CUST000151,26.0,Female,48,North,Credit Card,3,1.0,7.01,333,38.37,1
CUST000152,32.0,Female,20,West,Credit Card,1,8.0,11.15,205,49.79,0
CUST000153,32.0,Male,1,East,PayPal,3,7.0,13.86,229,40.25,0
CUST000154,43.0,Male,1,East,PayPal,4,3.0,9.26,189,27.19,1
CUST000155,59.0,Male,17,West,PayPal,4,3.0,17.69,99,37.57,1
CUST000156,30.0,Male,59,North,Credit Card,2,7.0,19.72,218,62.77,0
CUST000157,,Female,1,South,Debit Card,1,2.0,6.8,194,26.71,1
CUST000158,49.0,Female,53,East,Credit Card,0,5.0,5.27,43,51.44,0
CUST000159,56.0,Female,52,West,PayPal,3,7.0,16.85,124,58.74,0
CUST000160,66.0,Male,45,South,Debit Card,2,6.0,7.86,20,50.01,0
CUST000161,69.0,Male,30,West,Debit Card,0,10.0,10.3,311,58.92,1
CUST000162,49.0,Female,41,West,PayPal,5,7.0,10.91,330,50.27,1
CUST000163,21.0,Female,47,West,Debit Card,4,2.0,18.75,328,43.5,1
CUST000164,47.0,Male,3,North,Debit Card,1,7.0,14.88,168,46.25,0
CUST000165,54.0,Female,46,North,PayPal,4,2.0,5.61,46,36.05,1
CUST000166,40.0,Male,55,West,Debit Card,3,7.0,5.22,223,52.23,0
CUST000167,56.0,Male,11,East,Debit Card,4,8.0,7.99,79,41.59,0
CUST000168,62.0,Male,24,South,PayPal,3,10.0,9.77,170,53.25,0
CUST000169,32.0,Female,22,East,Debit Card,1,8.0,12.27,246,51.54,0
CUST000170,60.0,Female,44,North,Debit Card,3,5.0,17.57,271,49.56,0
CUST000171,46.0,Male,45,South,Debit Card,2,7.0,9.72,99,53.56,0
CUST000172,53.0,Female,26,West,Debit Card,2,8.0,10.65,322,51.29,1
CUST000173,30.0,Male,13,East,PayPal,2,4.0,9.94,141,35.0,0
CUST000174,49.0,Male,1,East,Credit Card,1,2.0,5.13,109,26.14,1
CUST000175,,Male,24,West,Credit Card,5,7.0,19.33,313,48.93,1
CUST000176,68.0,Male,10,East,Debit Card,4,1.0,7.08,137,23.15,1
CUST000177,39.0,Female,35,North,PayPal,1,2.0,9.32,121,38.64,1
CUST000178,45.0,Male,24,West,PayPal,3,10.0,6.94,99,53.16,0
CUST000179,19.0,Male,28,East,Debit Card,3,7.0,12.36,66,50.28,0
CUST000180,59.0,Female,36,West,Credit Card,4,10.0,18.98,144,60.93,0
CUST000181,62.0,Male,16,South,Debit Card,1,1.0,6.51,110,29.19,1
CUST000182,23.0,Male,40,West,PayPal,1,7.0,11.61,130,53.6,0
CUST000183,45.0,Female,16,East,PayPal,2,5.0,5.34,328,38.48,1
CUST000184,45.0,Female,59,North,Credit Card,1,3.0,16.56,257,53.41,1
CUST000185,61.0,Female,17,West,PayPal,1,2.0,14.62,210,35.05,1
CUST000186,61.0,Male,51,West,PayPal,0,7.0,15.5,246,61.46,0
CUST000187,37.0,Female,54,East,PayPal,2,9.0,12.09,361,61.74,1
CUST000188,47.0,Female,15,North,Credit Card,2,9.0,18.61,154,53.05,0
CUST000189,,Male,16,North,PayPal,1,10.0,11.14,133,54.02,0
CUST000190,45.0,Male,15,South,Debit Card,1,10.0,12.71,21,55.65,0
CUST000191,42.0,Male,57,South,Credit Card,3,8.0,15.43,35,61.52,0
CUST000192,56.0,Male,34,East,Debit Card,2,2.0,12.81,360,39.49,1
CUST000193,,Male,11,North,Debit Card,1,1.0,7.84,310,28.87,1
CUST000194,18.0,Female,1,North,Credit Card,1,8.0,9.76,224,44.45,0
CUST000195,44.0,Female,15,South,Debit Card,1,2.0,6.38,124,31.38,1
CUST000196,,Female,26,South,Credit Card,2,4.0,11.49,240,41.78,0
CUST000197,30.0,Male,51,East,Debit Card,4,4.0,14.14,364,46.91,1
CUST000198,58.0,Male,4,North,Credit Card,1,2.0,6.78,300,29.04,1
CUST000199,20.0,Male,43,West,PayPal,0,4.0,14.46,341,50.99,1
CUST000200,56.0,Female,5,South,PayPal,1,7.0,18.39,4,47.69,0
CUST000201,,Female,35,East,Debit Card,2,,10.07,123,48.89,0
CUST000202,25.0,Male,13,North,PayPal,0,10.0,8.33,42,53.53,0
CUST000203,44.0,Female,10,North,Credit Card,3,6.0,18.4,169,44.77,0
CUST000204,26.0,Male,11,South,Debit Card,1,4.0,15.38,280,37.52,0
CUST000205,,Female,18,East,PayPal,1,2.0,6.58,225,33.34,1
CUST000206,50.0,Female,34,West,PayPal,7,5.0,11.12,185,41.84,1
CUST000207,68.0,Female,39,South,Debit Card,1,3.0,15.11,323,44.93,1
CUST000208,59.0,Male,41,East,PayPal,1,3.0,13.62,11,44.68,1
CUST000209,61.0,Female,42,North,PayPal,0,4.0,14.28,173,51.03,0
CUST000210,41.0,Female,50,West,Debit Card,5,5.0,13.51,96,47.33,1
CUST000211,32.0,Male,23,East,PayPal,1,2.0,16.97,278,38.52,1
CUST000212,49.0,Female,7,West,PayPal,2,6.0,9.81,139,39.77,0
CUST000213,49.0,Male,59,East,PayPal,0,6.0,15.63,166,59.72,0
CUST000214,41.0,Male,39,East,PayPal,2,8.0,19.87,187,60.11,0
CUST000215,58.0,Male,3,East,Debit Card,2,2.0,10.85,86,28.13,1
CUST000216,69.0,Male,12,East,Credit Card,4,8.0,16.87,231,47.6,0
CUST000217,66.0,Male,7,West,Credit Card,2,8.0,8.69,138,44.33,0
CUST000218,66.0,Female,49,South,PayPal,2,4.0,9.23,19,48.58,0
CUST000219,69.0,Male,26,West,PayPal,2,7.0,19.02,338,53.58,1
CUST000220,29.0,Male,33,East,Credit Card,0,,5.39,156,49.57,0
CUST000221,56.0,Male,37,West,PayPal,5,,8.26,95,30.47,1
CUST000222,19.0,Male,48,West,Credit Card,1,1.0,12.24,17,42.66,1
CUST000223,20.0,Female,15,West,Debit Card,6,8.0,11.03,280,42.16,1
CUST000224,66.0,Male,2,East,Debit Card,3,1.0,14.44,261,26.38,1
CUST000225,54.0,Female,41,West,Debit Card,3,3.0,7.89,160,39.09,1
CUST000226,66.0,Male,7,North,Debit Card,2,6.0,6.06,309,38.41,1
CUST000227,34.0,Female,32,East,Debit Card,1,8.0,10.54,81,53.02,0
CUST000228,66.0,Male,4,West,Debit Card,5,5.0,12.87,185,34.1,1
CUST000229,19.0,Male,20,North,Credit Card,0,5.0,13.43,213,45.2,0
CUST000230,19.0,Female,50,West,PayPal,2,4.0,14.02,342,49.79,1
CUST000231,45.0,Male,53,South,Credit Card,3,4.0,13.23,359,49.58,1
CUST000232,40.0,Female,36,West,Debit Card,1,7.0,8.69,167,51.2,0
CUST000233,54.0,Male,32,West,PayPal,2,6.0,16.47,206,49.69,0
CUST000234,49.0,Female,28,South,PayPal,1,8.0,6.32,336,48.5,1
CUST000235,,Male,13,East,Debit Card,2,6.0,7.98,261,40.59,0
CUST000236,18.0,Male,1,South,Debit Card,1,10.0,16.09,274,51.99,0
CUST000237,,Female,56,East,Debit Card,1,7.0,9.2,236,56.99,0
CUST000238,19.0,Male,35,South,Debit Card,4,10.0,12.4,243,56.96,0
CUST000239,,Male,48,West,Debit Card,3,10.0,9.91,220,61.61,0
CUST000240,43.0,Male,30,West,Debit Card,3,5.0,12.6,347,45.31,1
CUST000241,,Male,54,East,PayPal,1,6.0,10.2,70,53.56,0
CUST000242,,Male,36,East,Debit Card,1,1.0,19.91,213,41.69,1
CUST000243,49.0,Male,57,North,Debit Card,3,,10.36,337,47.14,1
CUST000244,21.0,Female,55,North,PayPal,5,8.0,14.41,287,59.3,1
CUST000245,28.0,Female,25,West,Credit Card,1,3.0,18.33,226,42.15,1
CUST000246,34.0,Female,16,West,Debit Card,5,1.0,14.57,269,29.96,1
CUST000247,55.0,Male,58,North,PayPal,1,3.0,13.49,279,49.09,1
CUST000248,41.0,Female,19,North,PayPal,2,4.0,13.54,249,41.22,0
CUST000249,22.0,Male,1,East,Credit Card,2,8.0,12.45,321,43.84,1
CUST000250,69.0,Male,5,South,Debit Card,1,9.0,17.11,196,52.92,0
CUST000251,51.0,Male,51,East,Debit Card,2,4.0,5.76,30,45.32,0
CUST000252,23.0,Male,22,North,Debit Card,2,7.0,18.28,303,50.53,1
CUST000253,39.0,Female,24,West,PayPal,2,1.0,13.79,131,34.06,1
CUST000254,28.0,Male,43,North,Debit Card,2,9.0,17.73,12,60.33,0
CUST000255,65.0,Female,45,West,Debit Card,3,4.0,5.16,16,40.72,0
CUST000256,33.0,Male,52,West,Debit Card,0,9.0,18.04,117,67.63,0
CUST000257,50.0,Female,37,West,Debit Card,4,3.0,6.8,149,38.19,1
CUST000258,26.0,Female,53,West,Credit Card,1,5.0,15.82,109,55.72,0
CUST000259,23.0,Female,36,South,Credit Card,0,1.0,11.25,236,37.67,1
CUST000260,33.0,Female,36,North,Credit Card,1,3.0,15.22,314,45.19,1
CUST000261,,Female,4,East,Debit Card,0,5.0,14.42,5,39.92,0
CUST000262,,Female,36,West,Debit Card,1,6.0,7.45,180,48.73,0
CUST000263,37.0,Male,52,West,PayPal,1,8.0,12.72,337,61.89,1
CUST000264,53.0,Female,53,East,PayPal,2,1.0,9.16,1,40.95,1
CUST000265,36.0,Male,18,East,PayPal,2,3.0,13.41,8,38.67,1
CUST000266,43.0,Female,50,West,Debit Card,0,,16.07,144,45.39,1
CUST000267,20.0,Male,16,East,Credit Card,2,5.0,6.22,143,37.79,0
CUST000268,36.0,Female,41,East,Credit Card,2,8.0,12.74,275,56.34,0
CUST000269,37.0,Female,18,South,Credit Card,3,4.0,14.26,153,37.59,0
CUST000270,49.0,Male,22,East,Debit Card,5,9.0,9.43,287,47.41,1
CUST000271,24.0,Female,2,North,Credit Card,2,6.0,19.3,130,42.53,0
CUST000272,69.0,Female,21,North,PayPal,1,6.0,12.8,121,46.22,0
CUST000273,58.0,Female,36,North,PayPal,2,5.0,7.74,59,45.04,0
CUST000274,50.0,Male,44,West,Credit Card,0,10.0,6.62,217,60.03,0
CUST000275,57.0,Female,39,North,PayPal,5,5.0,13.12,31,43.61,1
CUST000276,56.0,Male,47,South,Credit Card,1,7.0,10.63,244,56.85,0
CUST000277,35.0,Female,39,North,Credit Card,1,8.0,7.89,140,52.44,0
CUST000278,57.0,Female,29,West,PayPal,1,7.0,5.46,213,48.35,0
CUST000279,18.0,Male,54,South,PayPal,2,1.0,13.5,29,42.68,1
CUST000280,28.0,Female,26,North,PayPal,1,1.0,13.98,164,36.25,1
CUST000281,45.0,Female,21,South,PayPal,3,10.0,7.13,104,52.82,0
CUST000282,42.0,Male,17,South,Credit Card,4,6.0,14.03,63,42.18,0
CUST000283,67.0,Female,16,West,PayPal,2,3.0,19.28,15,40.17,1
CUST000284,,Male,31,West,PayPal,2,9.0,19.67,286,59.29,0
CUST000285,48.0,Male,51,South,Debit Card,2,7.0,18.33,179,59.46,0
CUST000286,47.0,Male,9,North,PayPal,2,2.0,17.11,11,33.62,1
CUST000287,59.0,Female,31,West,PayPal,1,3.0,8.14,13,40.37,1
CUST000288,52.0,Male,14,South,Credit Card,2,8.0,7.35,215,44.74,0
CUST000289,24.0,Male,49,East,Credit Card,2,1.0,11.67,311,39.5,1
CUST000290,33.0,Female,37,East,Debit Card,2,5.0,14.29,226,48.42,0
CUST000291,43.0,Male,2,West,PayPal,5,10.0,17.76,63,48.67,1
CUST000292,65.0,Female,52,North,PayPal,2,1.0,8.48,255,38.12,1
CUST000293,69.0,Female,48,East,PayPal,3,,12.19,130,59.38,0
CUST000294,,Female,46,East,PayPal,0,7.0,14.71,263,57.43,0
CUST000295,19.0,Female,14,East,PayPal,2,5.0,11.68,171,40.77,0
CUST000296,18.0,Male,59,North,PayPal,2,6.0,11.81,190,54.4,0
CUST000297,65.0,Male,33,North,Debit Card,1,,8.38,284,42.32,1
CUST000298,29.0,Male,35,West,PayPal,2,3.0,19.8,25,45.16,1
CUST000299,22.0,Male,58,West,PayPal,1,7.0,12.13,160,58.9,0
CUST000300,54.0,Male,39,East,PayPal,2,7.0,12.99,217,53.01,0
CUST000301,49.0,Female,58,North,Debit Card,4,7.0,8.28,176,54.8,0
CUST000302,26.0,Male,47,South,PayPal,3,,12.71,336,42.75,1
CUST000303,58.0,Male,51,East,Debit Card,1,2.0,8.83,221,43.24,1
CUST000304,52.0,Male,20,West,Credit Card,3,,8.04,280,37.48,0
CUST000305,,Female,2,North,PayPal,3,4.0,9.14,81,30.36,0
CUST000306,65.0,Female,51,West,Debit Card,4,7.0,5.04,125,50.81,0
CUST000307,33.0,Male,41,West,Credit Card,3,3.0,13.55,170,43.96,1
CUST000308,20.0,Female,19,North,Debit Card,1,5.0,10.81,70,43.52,0
CUST000309,37.0,Male,59,East,Debit Card,2,2.0,18.48,78,49.71,1
CUST000310,41.0,Male,37,North,Credit Card,2,,5.61,90,34.97,1
CUST000311,50.0,Female,18,East,PayPal,2,9.0,5.65,348,50.24,1
CUST000312,41.0,Female,16,West,PayPal,3,4.0,18.29,111,41.54,0
CUST000313,69.0,Male,4,North,Debit Card,2,8.0,6.9,164,43.17,0
CUST000314,28.0,Male,12,South,Credit Card,0,7.0,5.03,128,42.81,0
CUST000315,66.0,Female,29,East,PayPal,1,1.0,7.68,155,34.8,1
CUST000316,25.0,Male,7,South,Debit Card,1,10.0,17.36,194,55.04,0
CUST000317,53.0,Female,14,East,Credit Card,1,7.0,17.04,173,49.67,0
CUST000318,55.0,Male,55,North,Debit Card,1,2.0,10.1,300,46.61,1
CUST000319,57.0,Female,12,South,Credit Card,3,3.0,15.02,313,35.37,1
CUST000320,37.0,Male,35,North,PayPal,0,1.0,12.61,21,39.2,1
CUST000321,52.0,Male,5,East,PayPal,2,7.0,18.57,311,44.82,1
CUST000322,65.0,Female,17,East,Debit Card,1,3.0,5.85,109,34.03,1
CUST000323,42.0,Male,58,East,PayPal,2,6.0,17.2,360,58.81,1
CUST000324,52.0,Male,42,East,PayPal,1,7.0,7.56,129,52.96,0
CUST000325,42.0,Female,32,West,Credit Card,1,,10.87,280,41.58,1
CUST000326,46.0,Male,10,East,PayPal,1,2.0,7.88,27,31.7,1
CUST000327,35.0,Male,43,South,Credit Card,2,9.0,15.54,344,61.64,1
CUST000328,63.0,Male,17,East,Credit Card,2,9.0,15.17,92,52.72,0
CUST000329,35.0,Female,5,North,Debit Card,2,7.0,13.22,295,42.36,0
CUST000330,19.0,Female,45,West,Credit Card,2,5.0,15.47,55,51.72,0
CUST000331,52.0,Female,42,South,PayPal,1,4.0,14.59,196,50.94,0
CUST000332,,Male,9,West,Credit Card,1,,16.65,221,40.15,0
CUST000333,58.0,Male,49,West,Credit Card,2,1.0,8.59,301,38.8,1
CUST000334,53.0,Male,33,West,Debit Card,2,4.0,11.43,156,43.75,0
CUST000335,50.0,Male,36,North,PayPal,3,7.0,7.27,101,48.93,0
CUST000336,21.0,Female,36,West,PayPal,2,5.0,11.44,236,47.2,0
CUST000337,50.0,Male,18,West,PayPal,1,9.0,15.53,285,55.84,0
CUST000338,31.0,Male,9,East,Credit Card,2,4.0,15.37,69,38.37,0
CUST000339,38.0,Male,57,North,PayPal,2,3.0,15.64,267,51.35,1
CUST000340,65.0,Female,29,South,PayPal,2,,9.63,138,46.35,0
CUST000341,37.0,Male,50,South,Credit Card,2,4.0,14.93,248,51.58,0
CUST000342,25.0,Male,14,South,Debit Card,2,2.0,10.51,103,33.26,1
CUST000343,24.0,Male,25,North,Debit Card,1,5.0,19.17,108,49.31,0
CUST000344,20.0,Male,15,South,Credit Card,0,4.0,10.15,200,40.36,0
CUST000345,34.0,Male,6,North,Debit Card,1,5.0,14.05,215,42.43,0
